STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,statinfo,Statistical information,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2014,,30.7,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2015,,30.1,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2016,,29.5,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2017,,29.1,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2018,,31.1,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2019,,29.7,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2020,,30.5,,b,break in time series,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2021,,31.2,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2022,,29.0,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2023,,29.4,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),DE,Germany,2024,,29.5,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2014,,29.2,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2015,,29.2,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2016,,29.3,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2017,,28.8,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2018,,28.5,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2019,,29.2,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2020,,29.2,,b,break in time series,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2021,,29.3,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2022,,29.8,,b,break in time series,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2023,,29.7,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),FR,France,2024,,30.0,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),UK,United Kingdom,2014,,31.6,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),UK,United Kingdom,2015,,32.4,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),UK,United Kingdom,2016,,31.5,,,,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),UK,United Kingdom,2017,,33.1,,b,break in time series,,
dataflow,ESTAT:TESSI190(1.0),Gini coefficient of equivalised disposable income,A,Annual,TOTAL,Total,GINI_HND,Gini coefficient (scale from 0 to 100),UK,United Kingdom,2018,,33.5,,,,,
